"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","41","Command line suite","Command line test","PostsTest","PostsTest","getById_Posts_ReturnsPost","getById_Posts_ReturnsPost",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","98","Command line suite","Command line test","TodosTest","TodosTest","patchById_Todos_ReturnsUpdated","patchById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","57","Command line suite","Command line test","UsersTest","UsersTest","patchById_Users_ReturnsUpdated","patchById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","51","Command line suite","Command line test","UsersTest","UsersTest","post_Users_ReturnsCreated","post_Users_ReturnsCreated",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","49","Command line suite","Command line test","UsersTest","UsersTest","getAll_Users_ReturnsOk","getAll_Users_ReturnsOk",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","50","Command line suite","Command line test","UsersTest","UsersTest","deleteById_Users_ReturnsOk","deleteById_Users_ReturnsOk",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","67","Command line suite","Command line test","TodosTest","TodosTest","putById_Todos_ReturnsUpdated","putById_Todos_ReturnsUpdated",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","56","Command line suite","Command line test","UsersTest","UsersTest","putById_Users_ReturnsUpdated","putById_Users_ReturnsUpdated",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","91","Command line suite","Command line test","PostsTest","PostsTest","getAll_Posts_ReturnsOk","getAll_Posts_ReturnsOk",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","306","Command line suite","Command line test","TodosTest","TodosTest","getAll_Todos_ReturnsOk","getAll_Todos_ReturnsOk",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","55","Command line suite","Command line test","PostsTest","PostsTest","putById_Posts_ReturnsUpdated","putById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","69","Command line suite","Command line test","TodosTest","TodosTest","post_Todos_ReturnsCreated","post_Todos_ReturnsCreated",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","57","Command line suite","Command line test","PostsTest","PostsTest","deleteById_Posts_ReturnsOk","deleteById_Posts_ReturnsOk",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","48","Command line suite","Command line test","TodosTest","TodosTest","getById_Todos_ReturnsTodo","getById_Todos_ReturnsTodo",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","49","Command line suite","Command line test","PostsTest","PostsTest","post_Posts_returnsCreated","post_Posts_returnsCreated",""
"passed","Sun Apr 21 21:12:29 GMT 2024","Sun Apr 21 21:12:29 GMT 2024","40","Command line suite","Command line test","UsersTest","UsersTest","getById_Users_ReturnsUser","getById_Users_ReturnsUser",""
"passed","Sun Apr 21 21:12:28 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","60","Command line suite","Command line test","PostsTest","PostsTest","patchById_Posts_ReturnsUpdated","patchById_Posts_ReturnsUpdated",""
"passed","Sun Apr 21 21:12:26 GMT 2024","Sun Apr 21 21:12:28 GMT 2024","1443","Command line suite","Command line test","TodosTest","TodosTest","deleteById_Todos_ReturnsOk","deleteById_Todos_ReturnsOk",""
